Address	Ordinal	Name	Library
000000001004438C		CharNextW	user32
0000000010044390		CharLowerW	user32
0000000010044394		CallNextHookEx	user32
000000001004439C		SHDeleteKeyW	shlwapi
00000000100443A4		SHGetPathFromIDListW	shell32
00000000100443A8		SHGetSpecialFolderLocation	shell32
00000000100443AC		SHGetMalloc	shell32
00000000100443B0		FindExecutableW	shell32
00000000100443B8		URLDownloadToCacheFileW	URLMON
00000000100443C0		InternetCloseHandle	wininet
00000000100443C4		FtpPutFileW	wininet
00000000100443C8		FtpSetCurrentDirectoryW	wininet
00000000100443CC		InternetOpenW	wininet
00000000100443D0		InternetConnectW	wininet
00000000100443D8		GetKeyboardState	user32
00000000100443DC		ToUnicodeEx	user32
00000000100443E4		NtUnmapViewOfSection	ntdll
00000000100443EC		SHDeleteValueW	shlwapi
00000000100443F0		SHDeleteKeyW	shlwapi
00000000100443F8		ShellExecuteW	shell32
